Topic,Abstract
climate change,"Climate change has far‐reaching impacts on ecosystems. Recent attempts to quantify such impacts focus on measuring exposure to climate change but largely ignore ecosystem resistance and resilience, which may also affect the vulnerability outcomes. In this study, the relative vulnerability of global terrestrial ecosystems to short‐term climate variability was assessed by simultaneously integrating exposure, sensitivity, and resilience at a high spatial resolution (0.05°). The results show that vulnerable areas are currently distributed primarily in plains. Responses to climate change vary among ecosystems and deserts and xeric shrublands are the most vulnerable biomes. Global vulnerability patterns are determined largely by exposure, while ecosystem sensitivity and resilience may exacerbate or alleviate external climate pressures at local scales; there is a highly significant negative correlation between exposure and sensitivity. Globally, 61.31% of the terrestrial vegetated area is capable of mitigating climate change impacts and those areas are concentrated in polar regions, boreal forests, tropical rainforests, and intact forests. Under current sensitivity and resilience conditions, vulnerable areas are projected to develop in high Northern Hemisphere latitudes in the future. The results suggest that integrating all three aspects of vulnerability (exposure, sensitivity, and resilience) may offer more comprehensive and spatially explicit adaptation strategies to reduce the impacts of climate change on terrestrial ecosystems."
climate change,"Climate change is driving changes in the physical and chemical properties of the ocean that have consequences for marine ecosystems. Here, we review evidence for the responses of marine life to recent climate change across ocean regions, from tropical seas to polar oceans. We consider observed changes in calcification rates, demography, abundance, distribution and phenology of marine species. We draw on a database of observed climate change impacts on marine species, supplemented with evidence in the Fifth Assessment Report of the Intergovernmental Panel on Climate Change. We discuss factors that limit or facilitate species’ responses, such as fishing pressure, the availability of prey, habitat, light and other resources, and dispersal by ocean currents. We find that general trends in species responses are consistent with expectations from climate change, including poleward and deeper distributional shifts, advances in spring phenology, declines in calcification and increases in the abundance of warm-water species. The volume and type of evidence of species responses to climate change is variable across ocean regions and taxonomic groups, with much evidence derived from the heavily-studied north Atlantic Ocean. Most investigations of marine biological impacts of climate change are of the impacts of changing temperature, with few observations of effects of changing oxygen, wave climate, precipitation (coastal waters) or ocean acidification. Observations of species responses that have been linked to anthropogenic climate change are widespread, but are still lacking for some taxonomic groups (e.g., phytoplankton, benthic invertebrates, marine mammals)."
climate change,"Rapid climatic changes and increasing human influence at high elevations around the world will have profound impacts on mountain biodiversity. However, forecasts from statistical models (e.g. species distribution models) rarely consider that plant community changes could substantially lag behind climatic changes, hindering our ability to make temporally realistic projections for the coming century. Indeed, the magnitudes of lags, and the relative importance of the different factors giving rise to them, remain poorly understood. We review evidence for three types of lag: “dispersal lags” affecting plant species’ spread along elevational gradients, “establishment lags” following their arrival in recipient communities, and “extinction lags” of resident species. Variation in lags is explained by variation among species in physiological and demographic responses, by effects of altered biotic interactions, and by aspects of the physical environment. Of these, altered biotic interactions could contribute substantially to establishment and extinction lags, yet impacts of biotic interactions on range dynamics are poorly understood. We develop a mechanistic community model to illustrate how species turnover in future communities might lag behind simple expectations based on species’ range shifts with unlimited dispersal. The model shows a combined contribution of altered biotic interactions and dispersal lags to plant community turnover along an elevational gradient following climate warming. Our review and simulation support the view that accounting for disequilibrium range dynamics will be essential for realistic forecasts of patterns of biodiversity under climate change, with implications for the conservation of mountain species and the ecosystem functions they provide."
climate change,"Research can increasingly determine the contribution of climate change to extreme events such as droughts Human-induced climate change has led to an increase in the frequency and intensity of daily temperature extremes and has contributed to a widespread intensification of daily precipitation extremes (1, 2). But has it also made specific extreme weather and climate events—such as floods, droughts, and heat waves—more likely? Although it has been said that individual climate events cannot be attributed to anthropogenic climate change (3), a recent assessment by the National Academies of Science concludes that “this is no longer true as an unqualified blanket statement” (4). Robust event attribution can support decisions such as how to rebuild after a disaster and how to price insurance by quantifying the current risk of such events."
climate change,"Climate change is a very complex issue; policymakers need an objective source of information about the causes of climate change, its potential environmental and socio-economic consequences, and the adaptation and mitigation options to respond to it. The IPCC was established by the World Meteorological Organization (WMO) and the United Nations Environment Programme (UNEP) in 1988 to provide an authoritative statement of scientific opinion on climate change."
climate change,"Bucking the trend Responses to climate change have been observed across many species. There is a general trend for species to shift their ranges poleward or up in elevation. Not all species, however, can make such shifts, and these species might experience more rapid declines. Kerr et al. looked at data on bumblebees across North America and Europe over the past 110 years. Bumblebees have not shifted northward and are experiencing shrinking distributions in the southern ends of their range. Such failures to shift may be because of their origins in a cooler climate, and suggest an elevated susceptibility to rapid climate change. Science, this issue p. 177 Cool-adapted bumblebees are failing to shift their ranges in response to climate warming. For many species, geographical ranges are expanding toward the poles in response to climate change, while remaining stable along range edges nearest the equator. Using long-term observations across Europe and North America over 110 years, we tested for climate change–related range shifts in bumblebee species across the full extents of their latitudinal and thermal limits and movements along elevation gradients. We found cross-continentally consistent trends in failures to track warming through time at species’ northern range limits, range losses from southern range limits, and shifts to higher elevations among southern species. These effects are independent of changing land uses or pesticide applications and underscore the need to test for climate impacts at both leading and trailing latitudinal and thermal limits for species."
climate change,"Climate change threatens the objective of eradicating poverty. Poor people and poor countries are already vulnerable to all types of climate-related shocks—natural disasters that destroy assets and livelihoods; water borne diseases and pests that becomemore prevalent during heat waves, floods, or droughts; crop failure from reduced rainfall; andspikes in food prices that follow extreme weather events. Such shocks can erase decades ofhard work and leave people with irreversible human and physical losses. Changes in climateconditions caused by increasing concentrations of greenhouse gases in the atmosphere will worsen these shocks and slow down poverty reduction. The good news is that, at least until 2030, “good development” can prevent most of these impacts. By “good development,” we mean development that is rapid, inclusive, and climate informed; includes strong social safety nets and universal health coverage; and iscomplemented with targeted adaptation interventions such as heat-tolerant crops and early warning systems. Absent such good development, many people will still be living in or closeto extreme poverty in 2030, with few resources to cope with climate shocks and adapt to longterm trends, and climate change could increase extreme poverty by more than 100 million people by 2030. In the longer run, beyond 2030, our ability to adapt to unabated climate change is limited. To keep the longer-term impacts on poverty in check, immediate emissions-reduction policiesare needed that bring emissions to zero by the end of the 21st century. These policies neednot threaten short-term progress on poverty reduction—provided they are well designed andinternational support is available for poor countries.Ending poverty and stabilizing climate change will be unprecedented global achievements.But neither can be attained without the other: they need to be designed and implementedas an integrated strategy. Shock Waves: Managing the Impacts of Climate Change on Poverty brings together those two objectives and explores how they can more easily be achieved if considered together. The book provides guidance on how to design climate policies so they contribute to poverty reduction, and on how to design poverty reduction policies so they contribute to climate change mitigation and resilience building."
climate change,"Significance Agriculture is arguably the sector most affected by climate change, but assessments differ and are thus difficult to compare. We provide a globally consistent, protocol-based, multimodel climate change assessment for major crops with explicit characterization of uncertainty. Results with multimodel agreement indicate strong negative effects from climate change, especially at higher levels of warming and at low latitudes where developing countries are concentrated. Simulations that consider explicit nitrogen stress result in much more severe impacts from climate change, with implications for adaptation planning. Here we present the results from an intercomparison of multiple global gridded crop models (GGCMs) within the framework of the Agricultural Model Intercomparison and Improvement Project and the Inter-Sectoral Impacts Model Intercomparison Project. Results indicate strong negative effects of climate change, especially at higher levels of warming and at low latitudes; models that include explicit nitrogen stress project more severe impacts. Across seven GGCMs, five global climate models, and four representative concentration pathways, model agreement on direction of yield changes is found in many major agricultural regions at both low and high latitudes; however, reducing uncertainty in sign of response in mid-latitude regions remains a challenge. Uncertainties related to the representation of carbon dioxide, nitrogen, and high temperature effects demonstrated here show that further research is urgently needed to better understand effects of climate change on agricultural production and to devise targeted adaptation strategies."
climate change,"Bioenergy deployment offers significant potential for climate change mitigation, but also carries considerable risks. In this review, we bring together perspectives of various communities involved in the research and regulation of bioenergy deployment in the context of climate change mitigation: Land‐use and energy experts, land‐use and integrated assessment modelers, human geographers, ecosystem researchers, climate scientists and two different strands of life‐cycle assessment experts. We summarize technological options, outline the state‐of‐the‐art knowledge on various climate effects, provide an update on estimates of technical resource potential and comprehensively identify sustainability effects. Cellulosic feedstocks, increased end‐use efficiency, improved land carbon‐stock management and residue use, and, when fully developed, BECCS appear as the most promising options, depending on development costs, implementation, learning, and risk management. Combined heat and power, efficient biomass cookstoves and small‐scale power generation for rural areas can help to promote energy access and sustainable development, along with reduced emissions. We estimate the sustainable technical potential as up to 100 EJ: high agreement; 100–300 EJ: medium agreement; above 300 EJ: low agreement. Stabilization scenarios indicate that bioenergy may supply from 10 to 245 EJ yr−1 to global primary energy supply by 2050. Models indicate that, if technological and governance preconditions are met, large‐scale deployment (>200 EJ), together with BECCS, could help to keep global warming below 2° degrees of preindustrial levels; but such high deployment of land‐intensive bioenergy feedstocks could also lead to detrimental climate effects, negatively impact ecosystems, biodiversity and livelihoods. The integration of bioenergy systems into agriculture and forest landscapes can improve land and water use efficiency and help address concerns about environmental impacts. We conclude that the high variability in pathways, uncertainties in technological development and ambiguity in political decision render forecasts on deployment levels and climate effects very difficult. However, uncertainty about projections should not preclude pursuing beneficial bioenergy options."
climate change,"Global climate change impacts can already be tracked in many physical and biological systems; in particular, terrestrial ecosystems provide a consistent picture of observed changes. One of the preferred indicators is phenology, the science of natural recurring events, as their recorded dates provide a high‐temporal resolution of ongoing changes. Thus, numerous analyses have demonstrated an earlier onset of spring events for mid and higher latitudes and a lengthening of the growing season. However, published single‐site or single‐species studies are particularly open to suspicion of being biased towards predominantly reporting climate change‐induced impacts. No comprehensive study or meta‐analysis has so far examined the possible lack of evidence for changes or shifts at sites where no temperature change is observed. We used an enormous systematic phenological network data set of more than 125 000 observational series of 542 plant and 19 animal species in 21 European countries (1971–2000). Our results showed that 78% of all leafing, flowering and fruiting records advanced (30% significantly) and only 3% were significantly delayed, whereas the signal of leaf colouring/fall is ambiguous. We conclude that previously published results of phenological changes were not biased by reporting or publication predisposition: the average advance of spring/summer was 2.5 days decade−1 in Europe. Our analysis of 254 mean national time series undoubtedly demonstrates that species' phenology is responsive to temperature of the preceding months (mean advance of spring/summer by 2.5 days°C−1, delay of leaf colouring and fall by 1.0 day°C−1). The pattern of observed change in spring efficiently matches measured national warming across 19 European countries (correlation coefficient r=−0.69, P<0.001)."
climate change,"Climate conditions significantly affect vegetation growth in terrestrial ecosystems. Due to the spatial heterogeneity of ecosystems, the vegetation responses to climate vary considerably with the diverse spatial patterns and the time‐lag effects, which are the most important mechanism of climate–vegetation interactive effects. Extensive studies focused on large‐scale vegetation–climate interactions use the simultaneous meteorological and vegetation indicators to develop models; however, the time‐lag effects are less considered, which tends to increase uncertainty. In this study, we aim to quantitatively determine the time‐lag effects of global vegetation responses to different climatic factors using the GIMMS3g NDVI time series and the CRU temperature, precipitation, and solar radiation datasets. First, this study analyzed the time‐lag effects of global vegetation responses to different climatic factors. Then, a multiple linear regression model and partial correlation model were established to statistically analyze the roles of different climatic factors on vegetation responses, from which the primary climate‐driving factors for different vegetation types were determined. The results showed that (i) both the time‐lag effects of the vegetation responses and the major climate‐driving factors that significantly affect vegetation growth varied significantly at the global scale, which was related to the diverse vegetation and climate characteristics; (ii) regarding the time‐lag effects, the climatic factors explained 64% variation of the global vegetation growth, which was 11% relatively higher than the model ignoring the time‐lag effects; (iii) for the area with a significant change trend (for the period 1982–2008) in the global GIMMS3g NDVI (P < 0.05), the primary driving factor was temperature; and (iv) at the regional scale, the variation in vegetation growth was also related to human activities and natural disturbances. Considering the time‐lag effects is quite important for better predicting and evaluating the vegetation dynamics under the background of global climate change."
climate change,"Many studies have recorded phenotypic changes in natural populations and attributed them to climate change. However, controversy and uncertainty has arisen around three levels of inference in such studies. First, it has proven difficult to conclusively distinguish whether phenotypic changes are genetically based or the result of phenotypic plasticity. Second, whether or not the change is adaptive is usually assumed rather than tested. Third, inferences that climate change is the specific causal agent have rarely involved the testing – and exclusion – of other potential drivers. We here review the various ways in which the above inferences have been attempted, and evaluate the strength of support that each approach can provide. This methodological assessment sets the stage for 11 accompanying review articles that attempt comprehensive syntheses of what is currently known – and not known – about responses to climate change in a variety of taxa and in theory. Summarizing and relying on the results of these reviews, we arrive at the conclusion that evidence for genetic adaptation to climate change has been found in some systems, but is still relatively scarce. Most importantly, it is clear that more studies are needed – and these must employ better inferential methods – before general conclusions can be drawn. Overall, we hope that the present paper and special issue provide inspiration for future research and guidelines on best practices for its execution."
climate change,"Global climate change is already having significant impacts on arctic and alpine ecosystems, and ongoing increases in temperature and altered precipitation patterns will affect the strong seasonal patterns that characterize these temperature‐limited systems. The length of the potential growing season in these tundra environments is increasing due to warmer temperatures and earlier spring snow melt. Here, we compare current and projected climate and ecological data from 20 Northern Hemisphere sites to identify how seasonal changes in the physical environment due to climate change will alter the seasonality of arctic and alpine ecosystems. We find that although arctic and alpine ecosystems appear similar under historical climate conditions, climate change will lead to divergent responses, particularly in the spring and fall shoulder seasons. As seasonality changes in the Arctic, plants will advance the timing of spring phenological events, which could increase plant nutrient uptake, production, and ecosystem carbon (C) gain. In alpine regions, photoperiod will constrain spring plant phenology, limiting the extent to which the growing season can lengthen, especially if decreased water availability from earlier snow melt and warmer summer temperatures lead to earlier senescence. The result could be a shorter growing season with decreased production and increased nutrient loss. These contrasting alpine and arctic ecosystem responses will have cascading effects on ecosystems, affecting community structure, biotic interactions, and biogeochemistry."
climate change,"Assisted gene flow (AGF) between populations has the potential to mitigate maladaptation due to climate change. However, AGF may cause outbreeding depression (especially if source and recipient populations have been long isolated) and may disrupt local adaptation to nonclimatic factors. Selection should eliminate extrinsic outbreeding depression due to adaptive differences in large populations, and simulations suggest that, within a few generations, evolution should resolve mild intrinsic outbreeding depression due to epistasis. To weigh the risks of AGF against those of maladaptation due to climate change, we need to know the species' extent of local adaptation to climate and other environmental factors, as well as its pattern of gene flow. AGF should be a powerful tool for managing foundation and resource-producing species with large populations and broad ranges that show signs of historical adaptation to local climatic conditions."
climate change,"The article focuses on how climate change may impact the management industry after 2014. Topics include the social impact of ocean acidification and coastal flooding, the transformation of the global economy in response to climate change, and the warnings on climate change issued by the Intergovernmental Panel on Climate Change (IPCC)."
climate change,"Preface: The Critique of Climate Change Adaptation 1. Climate Change and the Frontiers of Political Ecology 2. Socialising Climate 3. Making a World of Adaptation 4. Power, Inequality and Relational Vulnerability 5. Climate, Capital and Agrarian Transformations 6. Pakistan - Historicising Adaptation in the Indus Watershed 7. India - Water, Debt and Distress in the Deccan Plateau 8. Mongolia - Pastorialists, Resilience and Nomadic Capital 9. Conclusion: Adapting to a World of Adaptation"
climate change,"Evolutionary responses are required for tree populations to be able to track climate change. Results of 250 years of common garden experiments show that most forest trees have evolved local adaptation, as evidenced by the adaptive differentiation of populations in quantitative traits, reflecting environmental conditions of population origins. On the basis of the patterns of quantitative variation for 19 adaptation‐related traits studied in 59 tree species (mostly temperate and boreal species from the Northern hemisphere), we found that genetic differentiation between populations and clinal variation along environmental gradients were very common (respectively, 90% and 78% of cases). Thus, responding to climate change will likely require that the quantitative traits of populations again match their environments. We examine what kind of information is needed for evaluating the potential to respond, and what information is already available. We review the genetic models related to selection responses, and what is known currently about the genetic basis of the traits. We address special problems to be found at the range margins, and highlight the need for more modeling to understand specific issues at southern and northern margins. We need new common garden experiments for less known species. For extensively studied species, new experiments are needed outside the current ranges. Improving genomic information will allow better prediction of responses. Competitive and other interactions within species and interactions between species deserve more consideration. Despite the long generation times, the strong background in quantitative genetics and growing genomic resources make forest trees useful species for climate change research. The greatest adaptive response is expected when populations are large, have high genetic variability, selection is strong, and there is ecological opportunity for establishment of better adapted genotypes."
climate change,"There is no integrated regime governing efforts to limit the extent of climate change. Instead, there is a regime complex: a loosely-coupled set of specific regimes. We describe the regime complex for climate change and seek to explain it, using interest-based, functional, and organizational arguments. This institutional form is likely to persist; efforts to build a comprehensive regime are unlikely to succeed, but experiments abound with narrower institutions focused on particular aspects of the climate change problem. Building on this analysis, we argue that a climate change regime complex, if it meets specified criteria, has advantages over any politically feasible comprehensive regime. Adaptability and flexibility are particularly important in a setting—such as climate change policy—in which the most demanding international commitments are interdependent yet governments vary widely in their interest and ability to implement them. Yet in view of the serious political constraints, both domestic and international, there is little reason for optimism that the climate regime complex that is emerging will lead to reductions in emissions rapid enough to meet widely discussed goals, such as stopping global warming at two degrees above pre-industrial levels."
climate change,"This Special Report on Managing the Risks of Extreme Events and Disasters to Advance Climate Change Adaptation (SREX) has been jointly coordinated by Working Groups I (WGI) and II (WGII) of the Intergovernmental Panel on Climate Change (IPCC). The report focuses on the relationship between climate change and extreme weather and climate events, the impacts of such events, and the strategies to manage the associated risks. This Special Report, in particular, contributes to frame the challenge of dealing with extreme weather and climate events as an issue in decision making under uncertainty, analyzing response in the context of risk management. The report consists of nine chapters, covering risk management; observed and projected changes in extreme weather and climate events; exposure and vulnerability to as well as losses resulting from such events; adaptation options from the local to the international scale; the role of sustainable development in modulating risks; and insights from specific case studies. (LN)"
climate change,"Recent advances in DNA-sequencing technologies now allow for in-depth characterization of the genomic stress responses of many organisms beyond model taxa. They are especially appropriate for organisms such as reef-building corals, for which dramatic declines in abundance are expected to worsen as anthropogenic climate change intensifies. Different corals differ substantially in physiological resilience to environmental stress, but the molecular mechanisms behind enhanced coral resilience remain unclear. Here, we compare transcriptome-wide gene expression (via RNA-Seq using Illumina sequencing) among conspecific thermally sensitive and thermally resilient corals to identify the molecular pathways contributing to coral resilience. Under simulated bleaching stress, sensitive and resilient corals change expression of hundreds of genes, but the resilient corals had higher expression under control conditions across 60 of these genes. These “frontloaded” transcripts were less up-regulated in resilient corals during heat stress and included thermal tolerance genes such as heat shock proteins and antioxidant enzymes, as well as a broad array of genes involved in apoptosis regulation, tumor suppression, innate immune response, and cell adhesion. We propose that constitutive frontloading enables an individual to maintain physiological resilience during frequently encountered environmental stress, an idea that has strong parallels in model systems such as yeast. Our study provides broad insight into the fundamental cellular processes responsible for enhanced stress tolerances that may enable some organisms to better persist into the future in an era of global climate change."
climate change,"Some of the most important impacts of global climate change will be felt among the populations, predominantly in developing countries, referred to as “subsistence” or “smallholder” farmers. Their vulnerability to climate change comes both from being predominantly located in the tropics, and from various socioeconomic, demographic, and policy trends limiting their capacity to adapt to change. However, these impacts will be difficult to model or predict because of (i) the lack of standardised definitions of these sorts of farming system, and therefore of standard data above the national level, (ii) intrinsic characteristics of these systems, particularly their complexity, their location-specificity, and their integration of agricultural and nonagricultural livelihood strategies, and (iii) their vulnerability to a range of climate-related and other stressors. Some recent work relevant to these farming systems is reviewed, a conceptual framework for understanding the diverse forms of impacts in an integrated manner is proposed, and future research needs are identified."
climate change,"Anthropogenic climate change is predicted to be a major cause of species extinctions in the next 100 years. But what will actually cause these extinctions? For example, will it be limited physiological tolerance to high temperatures, changing biotic interactions or other factors? Here, we systematically review the proximate causes of climate-change related extinctions and their empirical support. We find 136 case studies of climatic impacts that are potentially relevant to this topic. However, only seven identified proximate causes of demonstrated local extinctions due to anthropogenic climate change. Among these seven studies, the proximate causes vary widely. Surprisingly, none show a straightforward relationship between local extinction and limited tolerances to high temperature. Instead, many studies implicate species interactions as an important proximate cause, especially decreases in food availability. We find very similar patterns in studies showing decreases in abundance associated with climate change, and in those studies showing impacts of climatic oscillations. Collectively, these results highlight our disturbingly limited knowledge of this crucial issue but also support the idea that changing species interactions are an important cause of documented population declines and extinctions related to climate change. Finally, we briefly outline general research strategies for identifying these proximate causes in future studies."
climate change,"Climate variability in the high-latitude Southern Hemisphere (SH) is dominated by the SH annular mode, a large-scale pattern of variability characterized by fluctuations in the strength of the circumpolar vortex. We present evidence that recent trends in the SH tropospheric circulation can be interpreted as a bias toward the high-index polarity of this pattern, with stronger westerly flow encircling the polar cap. It is argued that the largest and most significant tropospheric trends can be traced to recent trends in the lower stratospheric polar vortex, which are due largely to photochemical ozone losses. During the summer-fall season, the trend toward stronger circumpolar flow has contributed substantially to the observed warming over the Antarctic Peninsula and Patagonia and to the cooling over eastern Antarctica and the Antarctic plateau."
climate change,"With a pace of about twice the observed rate of global warming, the temperature on the Qinghai‐Tibetan Plateau (Earth's ‘third pole’) has increased by 0.2 °C per decade over the past 50 years, which results in significant permafrost thawing and glacier retreat. Our review suggested that warming enhanced net primary production and soil respiration, decreased methane (CH4) emissions from wetlands and increased CH4 consumption of meadows, but might increase CH4 emissions from lakes. Warming‐induced permafrost thawing and glaciers melting would also result in substantial emission of old carbon dioxide (CO2) and CH4. Nitrous oxide (N2O) emission was not stimulated by warming itself, but might be slightly enhanced by wetting. However, there are many uncertainties in such biogeochemical cycles under climate change. Human activities (e.g. grazing, land cover changes) further modified the biogeochemical cycles and amplified such uncertainties on the plateau. If the projected warming and wetting continues, the future biogeochemical cycles will be more complicated. So facing research in this field is an ongoing challenge of integrating field observations with process‐based ecosystem models to predict the impacts of future climate change and human activities at various temporal and spatial scales. To reduce the uncertainties and to improve the precision of the predictions of the impacts of climate change and human activities on biogeochemical cycles, efforts should focus on conducting more field observation studies, integrating data within improved models, and developing new knowledge about coupling among carbon, nitrogen, and phosphorus biogeochemical cycles as well as about the role of microbes in these cycles."
climate change,"Many actors—including scientists, journalists, artists, and campaigning organizations—create visualizations of climate change. In doing so, they evoke climate change in particular ways, and make the issue meaningful in everyday discourse. While a diversity of climate change imagery exists, particular types of climate imagery appear to have gained dominance, promoting particular ways of knowing about climate change (and marginalizing others). This imagery, and public engagement with this imagery, helps to shape the cultural politics of climate change in important ways. This article critically reviews the nascent research area of the visual representations of climate change, and public engagement with visual imagery. It synthesizes a diverse body of research to explore visual representations and engagement across the news media, NGO communications, advertising, and marketing, climate science, art, and virtual reality systems. The discussion brings together three themes which occur throughout the review: time, truth, and power. The article concludes by suggesting fruitful directions for future research in the visual communication of climate change. WIREs Clim Change 2014, 5:73–87. doi: 10.1002/wcc.249"
climate change,"All human–environment systems adapt to climate and its natural variation. Adaptation to human-induced change in climate has largely been envisioned as increments of these adaptations intended to avoid disruptions of systems at their current locations. In some places, for some systems, however, vulnerabilities and risks may be so sizeable that they require transformational rather than incremental adaptations. Three classes of transformational adaptations are those that are adopted at a much larger scale, that are truly new to a particular region or resource system, and that transform places and shift locations. We illustrate these with examples drawn from Africa, Europe, and North America. Two conditions set the stage for transformational adaptation to climate change: large vulnerability in certain regions, populations, or resource systems; and severe climate change that overwhelms even robust human use systems. However, anticipatory transformational adaptation may be difficult to implement because of uncertainties about climate change risks and adaptation benefits, the high costs of transformational actions, and institutional and behavioral actions that tend to maintain existing resource systems and policies. Implementing transformational adaptation requires effort to initiate it and then to sustain the effort over time. In initiating transformational adaptation focusing events and multiple stresses are important, combined with local leadership. In sustaining transformational adaptation, it seems likely that supportive social contexts and the availability of acceptable options and resources for actions are key enabling factors. Early steps would include incorporating transformation adaptation into risk management and initiating research to expand the menu of innovative transformational adaptations."
climate change,"Avoiding dangerous climate change is one of the most urgent social risk issues we face today and understanding related public perceptions is critical to engaging the public with the major societal transformations required to combat climate change. Analyses of public perceptions have indicated that climate change is perceived as distant on a number of different dimensions. However, to date there has been no in‐depth exploration of the psychological distance of climate change. This study uses a nationally representative British sample in order to systematically explore and characterize each of the four theorized dimensions of psychological distance—temporal, social, and geographical distance, and uncertainty—in relation to climate change. We examine how each of these different aspects of psychological distance relate to each other as well as to concerns about climate change and sustainable behavior intentions. Results indicate that climate change is both psychologically distant and proximal in relation to different dimensions. Lower psychological distance was generally associated with higher levels of concern, although perceived impacts on developing countries, as an indicator of social distance, was also significantly related to preparedness to act on climate change. Our findings clearly point to the utility of risk communication techniques designed to reduce psychological distance. However, highlighting the potentially very serious distant impacts of climate change may also be useful in promoting sustainable behavior, even among those already concerned."
climate change,"ABSTRACT Thawing permafrost and the resulting microbial decomposition of previously frozen organic carbon (C) is one of the most significant potential feedbacks from terrestrial ecosystems to the atmosphere in a changing climate. In this article we present an overview of the global permafrost C pool and of the processes that might transfer this C into the atmosphere, as well as the associated ecosystem changes that occur with thawing. We show that accounting for C stored deep in the permafrost more than doubles previous high-latitude inventory estimates, with this new estimate equivalent to twice the atmospheric C pool. The thawing of permafrost with warming occurs both gradually and catastrophically, exposing organic C to microbial decomposition. Other aspects of ecosystem dynamics can be altered by climate change along with thawing permafrost, such as growing season length, plant growth rates and species composition, and ecosystem energy exchange. However, these processes do not appear to be able to compensate for C release from thawing permafrost, making it likely that the net effect of widespread permafrost thawing will be a positive feedback to a warming climate."
climate change,"Increasing concern over the implications of climate change for biodiversity has led to the use of species–climate envelope models to project species extinction risk under climate‐change scenarios. However, recent studies have demonstrated significant variability in model predictions and there remains a pressing need to validate models and to reduce uncertainties. Model validation is problematic as predictions are made for events that have not yet occurred. Resubstituition and data partitioning of present‐day data sets are, therefore, commonly used to test the predictive performance of models. However, these approaches suffer from the problems of spatial and temporal autocorrelation in the calibration and validation sets. Using observed distribution shifts among 116 British breeding‐bird species over the past ∼20 years, we are able to provide a first independent validation of four envelope modelling techniques under climate change. Results showed good to fair predictive performance on independent validation, although rules used to assess model performance are difficult to interpret in a decision‐planning context. We also showed that measures of performance on nonindependent data provided optimistic estimates of models' predictive ability on independent data. Artificial neural networks and generalized additive models provided generally more accurate predictions of species range shifts than generalized linear models or classification tree analysis. Data for independent model validation and replication of this study are rare and we argue that perfect validation may not in fact be conceptually possible. We also note that usefulness of models is contingent on both the questions being asked and the techniques used. Implementations of species–climate envelope models for testing hypotheses and predicting future events may prove wrong, while being potentially useful if put into appropriate context."
climate change,"Climate change is expected to impact ecosystems directly, such as through shifting climatic controls on species ranges, and indirectly, for example through changes in human land use that may result in habitat loss. Shifting patterns of agricultural production in response to climate change have received little attention as a potential impact pathway for ecosystems. Wine grape production provides a good test case for measuring indirect impacts mediated by changes in agriculture, because viticulture is sensitive to climate and is concentrated in Mediterranean climate regions that are global biodiversity hotspots. Here we demonstrate that, on a global scale, the impacts of climate change on viticultural suitability are substantial, leading to possible conservation conflicts in land use and freshwater ecosystems. Area suitable for viticulture decreases 25% to 73% in major wine producing regions by 2050 in the higher RCP 8.5 concentration pathway and 19% to 62% in the lower RCP 4.5. Climate change may cause establishment of vineyards at higher elevations that will increase impacts on upland ecosystems and may lead to conversion of natural vegetation as production shifts to higher latitudes in areas such as western North America. Attempts to maintain wine grape productivity and quality in the face of warming may be associated with increased water use for irrigation and to cool grapes through misting or sprinkling, creating potential for freshwater conservation impacts. Agricultural adaptation and conservation efforts are needed that anticipate these multiple possible indirect effects."
climate change,"Significance Plausible estimates of climate change impacts on agriculture require integrated use of climate, crop, and economic models. We investigate the contribution of economic models to uncertainty in this impact chain. In the nine economic models included, the direction of management intensity, area, consumption, and international trade responses to harmonized crop yield shocks from climate change are similar. However, the magnitudes differ significantly. The differences depend on model structure, in particular the specification of endogenous yield effects, land use change, and propensity to trade. These results highlight where future research on modeling climate change impacts on agriculture should focus. Agricultural production is sensitive to weather and thus directly affected by climate change. Plausible estimates of these climate change impacts require combined use of climate, crop, and economic models. Results from previous studies vary substantially due to differences in models, scenarios, and data. This paper is part of a collective effort to systematically integrate these three types of models. We focus on the economic component of the assessment, investigating how nine global economic models of agriculture represent endogenous responses to seven standardized climate change scenarios produced by two climate and five crop models. These responses include adjustments in yields, area, consumption, and international trade. We apply biophysical shocks derived from the Intergovernmental Panel on Climate Change’s representative concentration pathway with end-of-century radiative forcing of 8.5 W/m2. The mean biophysical yield effect with no incremental CO2 fertilization is a 17% reduction globally by 2050 relative to a scenario with unchanging climate. Endogenous economic responses reduce yield loss to 11%, increase area of major crops by 11%, and reduce consumption by 3%. Agricultural production, cropland area, trade, and prices show the greatest degree of variability in response to climate change, and consumption the lowest. The sources of these differences include model structure and specification; in particular, model assumptions about ease of land use conversion, intensification, and trade. This study identifies where models disagree on the relative responses to climate shocks and highlights research activities needed to improve the representation of agricultural adaptation responses to climate change."
